iter	Logloss
0	0.5574042545
1	0.4183306064
2	0.3222498972
3	0.260988538
4	0.2239580135
5	0.1962837524
6	0.1733822665
7	0.1551352425
8	0.1423523724
9	0.1284653926
10	0.1173338389
11	0.1075704201
12	0.0990033384
13	0.0901291618
14	0.08377095349
15	0.07970814835
16	0.07618533624
17	0.07182192845
18	0.068412671
19	0.0657574566
20	0.06336394449
21	0.06109339755
22	0.05917192759
23	0.05708217521
24	0.05521611653
25	0.05384013326
26	0.05283218299
27	0.05121151385
28	0.04988081887
29	0.04859280729
30	0.04748205442
31	0.04597703531
32	0.04512306523
33	0.04380330882
34	0.04262842741
35	0.04174556375
